Temperatura média:    26.32022727272717
Umidade média:        63.32727272727273
mq3 média:            252.3840909090909
mq4 média:            427.00454545454545
mq7 média:            120.42727272727272
mq8 média:            188.8409090909091
mq135 média:          864.209090909091

24.20,78.00,303,518,125,214,889
24.20,78.00,302,516,124,211,889
24.20,78.00,302,513,123,210,889
24.20,78.00,301,513,124,208,889
24.20,78.00,301,512,123,206,889
24.20,78.00,302,512,123,206,889
24.30,78.00,300,510,123,206,888
24.30,78.00,300,508,123,205,889
24.30,78.00,300,505,122,205,885
24.30,78.00,297,501,123,205,880
24.30,78.00,294,497,121,202,879
24.30,78.00,294,496,122,204,878
24.30,78.00,294,495,122,204,878
24.40,78.00,294,495,121,202,878
24.40,78.00,293,496,121,201,881
24.40,78.00,295,495,121,201,881
24.40,78.00,295,492,121,200,879
24.40,78.00,293,490,120,201,880
24.40,78.00,292,487,120,201,879
24.50,78.00,291,486,121,200,877
24.50,78.00,291,485,120,198,877
24.50,77.00,291,483,120,197,876
24.60,77.00,289,480,119,198,872
24.60,77.00,291,481,121,198,874
24.60,77.00,288,478,121,197,871
24.60,76.00,284,473,120,197,866
24.60,76.00,284,469,121,199,863
24.60,76.00,285,471,121,199,864
24.60,76.00,283,470,120,198,863
24.60,76.00,284,475,121,198,871
24.70,76.00,282,473,120,197,867
24.70,76.00,286,474,121,196,870
24.70,76.00,284,472,119,195,871
24.70,76.00,280,474,120,188,876
24.80,76.00,282,474,120,187,874
24.80,75.00,283,472,120,190,871
24.80,75.00,283,471,120,189,871
24.90,75.00,285,473,120,188,872
24.90,75.00,285,473,121,189,872
25.00,75.00,284,473,122,188,871
25.80,71.00,267,436,118,188,864
25.80,71.00,268,436,118,187,865
25.90,71.00,269,435,118,187,865
25.90,71.00,269,434,117,187,865
26.60,66.00,267,435,120,189,861
26.60,67.00,265,433,120,181,861,Sat Dec 28 18:52:11 2024
26.60,67.00,264,432,120,181,861,Sat Dec 28 18:52:21 2024
26.60,67.00,263,431,120,181,861,Sat Dec 28 18:52:31 2024
26.60,67.00,263,431,120,181,862,Sat Dec 28 18:52:41 2024
26.60,66.00,263,430,119,181,861,Sat Dec 28 18:52:51 2024
26.60,66.00,262,431,120,183,861,Sat Dec 28 18:53:01 2024
26.60,66.00,262,430,120,182,861,Sat Dec 28 18:53:11 2024
26.50,65.00,263,430,120,183,861,Sat Dec 28 18:53:21 2024
26.50,65.00,262,430,120,183,860,Sat Dec 28 18:53:31 2024
26.50,65.00,263,429,120,183,860,Sat Dec 28 18:53:41 2024
26.50,65.00,262,428,119,184,860,Sat Dec 28 18:53:52 2024
26.60,65.00,261,428,121,185,859,Sat Dec 28 18:54:02 2024
26.60,65.00,261,429,120,184,859,Sat Dec 28 18:54:12 2024
26.60,65.00,260,428,120,184,857,Sat Dec 28 18:54:22 2024
26.60,66.00,260,427,119,184,858,Sat Dec 28 18:54:32 2024
26.60,66.00,259,428,119,184,858,Sat Dec 28 18:54:42 2024
26.60,66.00,259,428,120,186,857,Sat Dec 28 18:54:52 2024
26.60,66.00,258,428,119,187,859,Sat Dec 28 18:55:02 2024
26.60,66.00,258,426,118,187,859,Sat Dec 28 18:55:12 2024
26.60,66.00,258,427,118,186,859,Sat Dec 28 18:55:22 2024
26.60,66.00,258,427,119,186,860,Sat Dec 28 18:55:32 2024
26.60,66.00,259,427,119,187,859,Sat Dec 28 18:55:42 2024
26.60,66.00,258,426,119,187,859,Sat Dec 28 18:55:52 2024
26.60,66.00,257,425,119,188,859,Sat Dec 28 18:56:02 2024
26.70,66.00,257,425,119,188,859,Sat Dec 28 18:56:12 2024
26.70,66.00,259,426,120,187,859,Sat Dec 28 18:56:22 2024
26.70,65.00,258,425,120,186,859,Sat Dec 28 18:56:32 2024
26.70,65.00,256,423,119,185,858,Sat Dec 28 18:56:42 2024
26.70,65.00,255,421,118,185,859,Sat Dec 28 18:56:52 2024
26.70,65.00,256,421,120,184,859,Sat Dec 28 18:57:02 2024
26.70,64.00,256,422,118,183,859,Sat Dec 28 18:57:12 2024
26.70,64.00,257,423,119,184,859,Sat Dec 28 18:57:22 2024
26.70,64.00,256,423,120,184,859,Sat Dec 28 18:57:32 2024
26.70,64.00,257,424,120,186,860,Sat Dec 28 18:57:42 2024
26.70,64.00,256,424,119,184,860,Sat Dec 28 18:57:52 2024
26.70,64.00,256,424,120,183,860,Sat Dec 28 18:58:02 2024
26.70,64.00,257,424,119,185,859,Sat Dec 28 18:58:12 2024
26.70,64.00,257,424,119,186,859,Sat Dec 28 18:58:23 2024
26.70,64.00,258,425,120,185,860,Sat Dec 28 18:58:33 2024
26.70,64.00,256,424,119,185,860,Sat Dec 28 18:58:43 2024
26.70,64.00,256,424,119,184,859,Sat Dec 28 18:58:53 2024
26.70,64.00,255,424,119,186,860,Sat Dec 28 18:59:03 2024
26.70,64.00,254,424,119,187,860,Sat Dec 28 18:59:13 2024
26.70,64.00,255,426,118,185,859,Sat Dec 28 18:59:23 2024
26.70,64.00,256,427,119,187,859,Sat Dec 28 18:59:33 2024
26.70,64.00,256,428,119,187,860,Sat Dec 28 18:59:43 2024
26.70,64.00,256,427,120,187,859,Sat Dec 28 18:59:53 2024
26.70,64.00,255,427,119,186,860,Sat Dec 28 19:00:03 2024
26.70,64.00,256,427,119,185,859,Sat Dec 28 19:00:13 2024
26.60,64.00,256,428,119,185,859,Sat Dec 28 19:00:23 2024
26.60,63.00,255,426,119,185,858,Sat Dec 28 19:00:33 2024
26.60,63.00,255,425,120,186,859,Sat Dec 28 19:00:43 2024
26.60,63.00,254,423,119,188,860,Sat Dec 28 19:00:53 2024
26.60,63.00,253,423,120,187,860,Sat Dec 28 19:01:03 2024
26.60,63.00,254,424,120,187,860,Sat Dec 28 19:01:13 2024
26.60,63.00,253,422,119,186,860,Sat Dec 28 19:01:23 2024
26.60,63.00,252,424,120,186,860,Sat Dec 28 19:01:33 2024
26.60,63.00,251,423,119,186,860,Sat Dec 28 19:01:43 2024
26.60,63.00,251,424,119,186,860,Sat Dec 28 19:01:53 2024
26.60,63.00,251,424,120,186,859,Sat Dec 28 19:02:03 2024
26.60,63.00,251,423,120,187,859,Sat Dec 28 19:02:13 2024
26.60,63.00,249,421,119,186,859,Sat Dec 28 19:02:23 2024
26.60,63.00,249,421,119,187,859,Sat Dec 28 19:02:33 2024
26.60,62.00,249,421,119,187,860,Sat Dec 28 19:02:43 2024
26.60,62.00,250,423,120,186,859,Sat Dec 28 19:02:54 2024
26.60,62.00,250,423,119,186,859,Sat Dec 28 19:03:04 2024
26.60,62.00,250,424,119,186,860,Sat Dec 28 19:03:14 2024
26.60,62.00,251,426,119,187,861,Sat Dec 28 19:03:24 2024
26.60,62.00,253,428,120,187,860,Sat Dec 28 19:03:34 2024
26.60,62.00,251,425,118,187,859,Sat Dec 28 19:03:44 2024
26.60,62.00,252,425,120,186,859,Sat Dec 28 19:03:54 2024
26.60,62.00,252,424,120,185,859,Sat Dec 28 19:04:04 2024
26.60,62.00,251,425,120,185,859,Sat Dec 28 19:04:14 2024
26.60,62.00,251,424,120,186,859,Sat Dec 28 19:04:24 2024
26.60,62.00,251,423,120,186,859,Sat Dec 28 19:04:34 2024
26.60,62.00,251,424,119,188,859,Sat Dec 28 19:04:44 2024
26.60,62.00,250,423,120,187,858,Sat Dec 28 19:04:54 2024
26.60,62.00,250,422,119,187,859,Sat Dec 28 19:05:04 2024
26.60,62.00,251,423,120,188,860,Sat Dec 28 19:05:14 2024
26.60,62.00,250,422,119,188,859,Sat Dec 28 19:05:24 2024
26.60,62.00,250,421,119,188,859,Sat Dec 28 19:05:34 2024
26.60,62.00,250,421,120,187,859,Sat Dec 28 19:05:44 2024
26.60,62.00,250,421,120,187,860,Sat Dec 28 19:05:54 2024
26.60,62.00,250,421,120,188,860,Sat Dec 28 19:06:04 2024
26.60,61.00,251,420,119,188,860,Sat Dec 28 19:06:14 2024
26.60,61.00,251,421,119,187,860,Sat Dec 28 19:06:24 2024
26.60,61.00,252,423,119,186,859,Sat Dec 28 19:06:34 2024
26.60,61.00,253,424,120,186,860,Sat Dec 28 19:06:44 2024
26.60,61.00,255,429,120,188,863,Sat Dec 28 19:06:54 2024
26.60,61.00,254,429,120,188,863,Sat Dec 28 19:07:04 2024
26.60,61.00,254,429,120,187,864,Sat Dec 28 19:07:15 2024
26.60,61.00,254,428,121,188,863,Sat Dec 28 19:07:25 2024
26.60,61.00,253,427,120,189,863,Sat Dec 28 19:07:35 2024
26.60,61.00,252,425,119,189,863,Sat Dec 28 19:07:45 2024
26.60,61.00,251,425,120,188,863,Sat Dec 28 19:07:55 2024
26.60,61.00,251,424,120,189,862,Sat Dec 28 19:08:05 2024
26.60,61.00,251,424,119,189,862,Sat Dec 28 19:08:15 2024
26.60,61.00,251,424,120,188,861,Sat Dec 28 19:08:25 2024
26.60,61.00,250,424,119,188,862,Sat Dec 28 19:08:35 2024
26.60,61.00,250,424,119,187,862,Sat Dec 28 19:08:45 2024
26.60,61.00,251,424,120,187,861,Sat Dec 28 19:08:55 2024
26.60,61.00,252,425,120,186,862,Sat Dec 28 19:09:05 2024
26.60,61.00,251,427,120,186,862,Sat Dec 28 19:09:15 2024
26.60,61.00,251,426,120,186,861,Sat Dec 28 19:09:25 2024
26.60,61.00,251,426,120,186,862,Sat Dec 28 19:09:35 2024
26.60,61.00,251,424,120,186,862,Sat Dec 28 19:09:45 2024
26.60,61.00,250,423,120,186,862,Sat Dec 28 19:09:55 2024
26.60,61.00,250,422,120,187,861,Sat Dec 28 19:10:05 2024
26.60,61.00,250,422,120,188,861,Sat Dec 28 19:10:15 2024
26.60,61.00,249,422,120,189,862,Sat Dec 28 19:10:25 2024
26.60,61.00,249,421,120,188,861,Sat Dec 28 19:10:35 2024
26.60,61.00,249,421,119,188,862,Sat Dec 28 19:10:45 2024
26.60,61.00,249,420,119,188,861,Sat Dec 28 19:10:55 2024
26.60,61.00,248,421,119,186,861,Sat Dec 28 19:11:05 2024
26.60,62.00,250,421,120,187,862,Sat Dec 28 19:11:15 2024
26.60,62.00,250,421,120,188,861,Sat Dec 28 19:11:25 2024
26.60,62.00,249,420,120,188,861,Sat Dec 28 19:11:35 2024
26.60,62.00,249,420,120,188,861,Sat Dec 28 19:11:46 2024
26.60,62.00,249,420,120,188,861,Sat Dec 28 19:11:56 2024
26.60,62.00,250,422,119,188,862,Sat Dec 28 19:12:06 2024
26.60,62.00,249,422,120,187,861,Sat Dec 28 19:12:16 2024
26.60,62.00,249,422,120,188,862,Sat Dec 28 19:12:26 2024
26.60,62.00,249,422,119,189,862,Sat Dec 28 19:12:36 2024
26.60,62.00,250,423,120,188,861,Sat Dec 28 19:12:46 2024
26.60,62.00,250,423,120,186,860,Sat Dec 28 19:12:56 2024
26.60,62.00,251,422,120,185,860,Sat Dec 28 19:13:06 2024
26.60,61.00,252,423,119,185,861,Sat Dec 28 19:13:16 2024
26.60,61.00,251,421,120,186,861,Sat Dec 28 19:13:26 2024
26.60,61.00,250,420,119,187,861,Sat Dec 28 19:13:36 2024
26.50,61.00,249,419,120,187,860,Sat Dec 28 19:13:46 2024
26.50,61.00,250,420,119,188,861,Sat Dec 28 19:13:56 2024
26.50,61.00,250,420,120,186,860,Sat Dec 28 19:14:06 2024
26.50,61.00,250,422,120,186,860,Sat Dec 28 19:14:16 2024
26.50,61.00,250,422,119,186,861,Sat Dec 28 19:14:26 2024
26.50,61.00,251,423,119,186,861,Sat Dec 28 19:14:36 2024
26.50,61.00,251,425,120,186,860,Sat Dec 28 19:14:46 2024
26.50,61.00,250,424,119,187,860,Sat Dec 28 19:14:56 2024
26.50,61.00,250,423,119,187,861,Sat Dec 28 19:15:06 2024
26.50,61.00,248,422,119,188,860,Sat Dec 28 19:15:16 2024
26.50,62.00,249,422,119,187,861,Sat Dec 28 19:15:26 2024
26.50,62.00,248,422,119,188,861,Sat Dec 28 19:15:36 2024
26.50,62.00,249,420,119,188,861,Sat Dec 28 19:15:46 2024
26.50,62.00,249,420,119,189,861,Sat Dec 28 19:15:56 2024
26.60,62.00,248,419,119,188,863,Sat Dec 28 19:16:06 2024
26.60,62.00,248,419,119,188,861,Sat Dec 28 19:16:17 2024
26.60,62.00,248,418,120,188,860,Sat Dec 28 19:16:27 2024
26.60,62.00,248,419,119,189,862,Sat Dec 28 19:16:37 2024
26.60,62.00,249,419,120,189,863,Sat Dec 28 19:16:47 2024
26.60,62.00,249,418,120,189,863,Sat Dec 28 19:16:57 2024
26.60,62.00,249,418,119,189,862,Sat Dec 28 19:17:07 2024
26.60,62.00,249,418,119,188,863,Sat Dec 28 19:17:17 2024
26.60,62.00,249,418,119,187,861,Sat Dec 28 19:17:27 2024
26.60,62.00,248,419,120,187,862,Sat Dec 28 19:17:37 2024
